id,medicine_id,batch_number,expiry_date,quantity_in_stock,unit_price,created_at,updated_at
050acf51-bb45-4168-a20e-02641507f90a,b8c93b8c-1455-44bd-8142-8d8af559af4b,AMO-73473-3,2027-10-19,926,26.51,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
0599ec34-18ad-4813-a881-034e1f6e73bd,4be48732-3102-4935-ae00-4511d51fbcb3,AZI-43836-2,2027-09-04,559,296.69,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
0760226d-5512-4cea-9a9c-358312dd15ae,0e604d03-009c-43e3-9a16-15834e08f114,ORS-40699-2,2028-12-21,763,40.34,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
22ad2821-b915-471b-8139-ead697e5a760,b97d9390-a1d5-4aa7-b727-fd7a6f46a455,CET-72439-1,2027-07-04,814,214.19,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
268aed66-3627-42ee-8b0c-c52c625cb574,8338cacc-b8ce-4c77-bc03-fc81879f1420,PAR-95127-2,2027-09-29,328,74.07,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
2c77f959-1a2f-4eb0-be47-21ed2b78f3b2,c238d0e8-0994-4335-af54-08bf397bdc26,PAN-75683-2,2028-01-30,266,188.24,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
2db8898a-89d8-4205-8de9-f115e3a2f646,c3822ea4-7184-4a57-b51c-35ffa38d9e0b,MET-45669-2,2027-07-08,573,192.83,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
302a8933-43d4-4ba0-99a3-e85cca87e182,7dfae36d-21ba-40f3-b288-44379bea17d8,VIT-15655-1,2028-07-24,227,486.69,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
3a77ada8-0147-4527-9725-f104c30503a1,b8c93b8c-1455-44bd-8142-8d8af559af4b,AMO-37128-1,2027-05-06,194,193.06,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
3f9d1442-17e1-4802-ae08-4b50b4d74964,c3822ea4-7184-4a57-b51c-35ffa38d9e0b,MET-85705-3,2028-11-07,804,280.69,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
419b3dd8-2ca6-4419-8c9f-d15497d1c629,8338cacc-b8ce-4c77-bc03-fc81879f1420,PAR-58806-3,2027-05-06,792,371.63,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
4e9f23d2-afc3-4233-8fd0-7d0c59f960a7,c238d0e8-0994-4335-af54-08bf397bdc26,PAN-11982-1,2028-02-15,384,229.44,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
64f094f5-bc6e-45c0-9858-41c2d364bcb6,c3822ea4-7184-4a57-b51c-35ffa38d9e0b,MET-56517-4,2028-12-23,432,422.21,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
6c68ce9f-5906-4e57-9e94-1f38d6bccb7c,c3822ea4-7184-4a57-b51c-35ffa38d9e0b,MET-87217-1,2027-07-16,646,365.92,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
6c7a041a-f843-4169-b2b3-9c4b5a66319a,f964449e-5fe6-4eeb-9152-08b030b7fcd0,AML-39835-1,2027-09-13,941,20.89,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
79cf43fe-6a22-40b9-8b67-fc48702814fc,0e604d03-009c-43e3-9a16-15834e08f114,ORS-94041-1,2028-12-08,373,352.40,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
7b153acf-e4da-4e39-8435-a7fe99c973df,8338cacc-b8ce-4c77-bc03-fc81879f1420,PAR-72046-1,2027-05-16,125,372.07,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
9d3f09b4-d691-44ae-883a-b4ece0350656,8338cacc-b8ce-4c77-bc03-fc81879f1420,PAR-41846-4,2028-08-02,189,297.29,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
a420744d-0cc4-4039-9734-b6370a66447d,4be48732-3102-4935-ae00-4511d51fbcb3,AZI-88194-1,2028-11-17,818,274.75,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
a6835112-1c48-47ee-80f7-614d175cd961,18b097b5-d837-424b-854d-0db3b6c06ed2,IBU-67721-1,2027-02-21,195,113.23,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
b15266a5-cec7-43fb-8071-3def024c9ef2,8c22855e-d954-481e-bd42-2baf8582b380,CAL-46479-3,2027-11-14,181,428.38,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
b3e0441c-71fb-4ef6-960b-8aebed991916,18b097b5-d837-424b-854d-0db3b6c06ed2,IBU-62878-2,2028-06-22,716,18.14,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
b548c693-a2d6-4cdf-b557-b6e73386f157,7dfae36d-21ba-40f3-b288-44379bea17d8,VIT-35907-3,2028-10-26,733,443.30,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
b59c10aa-0e16-4e4e-8597-8370bcaf9302,e1179ffa-e6ff-4768-8efd-54ee5abbe6df,SAL-28107-2,2027-08-27,771,252.12,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
bc56bb89-32a4-4324-b657-024af9a63f3a,b8c93b8c-1455-44bd-8142-8d8af559af4b,AMO-35113-2,2028-01-24,967,175.26,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
c977bdde-4925-44d0-b299-e96ee922e4d9,8c22855e-d954-481e-bd42-2baf8582b380,CAL-13716-2,2027-03-09,777,117.81,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
cb44bbd2-5dfb-4406-aae2-4bf4ab896eef,7dfae36d-21ba-40f3-b288-44379bea17d8,VIT-25264-2,2028-02-13,180,278.26,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
e0f74eaf-bf78-4323-95f7-d52ecd334c01,f964449e-5fe6-4eeb-9152-08b030b7fcd0,AML-28887-2,2027-12-11,510,137.53,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
e4b6ca55-832d-4ef2-bc2f-55224bf02cd6,b97d9390-a1d5-4aa7-b727-fd7a6f46a455,CET-87448-2,2027-11-02,259,111.58,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
eaa8810b-d000-4c8a-90a5-bbb671d4fb0b,8c22855e-d954-481e-bd42-2baf8582b380,CAL-68440-1,2028-09-04,296,353.76,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
f140e1d7-629b-41f1-b484-ba792446293f,e1179ffa-e6ff-4768-8efd-54ee5abbe6df,SAL-41114-1,2028-08-24,997,360.37,2026-07-26 17:39:13.737453+00,2026-07-26 17:39:13.737453+00
