id,doctor_id,weekday,start_time,end_time,is_available,created_at,updated_at
0148ee7f-8412-4b93-8bb3-c4205506c7fd,c9e5d819-997c-422a-bc80-10e088232c49,Thursday,08:00:00,16:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
0178e38b-cd54-44da-89b8-be68eb12a3bb,db5471a7-3869-453d-80da-9a853ebdfc25,Monday,09:00:00,17:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
03d651e2-016b-41b5-a530-169345951414,eab9dbb1-3386-4ade-8dcd-62de477eeb99,Friday,09:00:00,17:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
0805ba66-5e4e-422f-a8b7-65fd5430ccd9,879daab2-d414-4b25-952a-dd94283942a2,Thursday,08:00:00,16:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
098f387d-b996-4b96-92f7-09c5ae0c31db,898fd110-ede9-4c15-8503-c53812c30c80,Thursday,12:00:00,20:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
09962a74-ef32-483a-88b6-76d4bbce51c7,e6ec8578-d05d-4721-b86b-723ee80dfe5b,Wednesday,08:00:00,16:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
09be0a3a-7316-437e-958b-d17e3ead2a85,eab9dbb1-3386-4ade-8dcd-62de477eeb99,Sunday,10:00:00,14:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
0a9f6839-35f4-49c9-9ab3-a9328ee791a2,4c12b59f-ddbb-4cbd-82c8-ca6987b537f5,Saturday,09:00:00,13:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
122a866d-577a-4c19-9b2e-384acf69ac4b,4f0fa92d-fd01-49cf-b9c6-48624caa1feb,Thursday,08:00:00,16:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
14e904b2-f030-4c46-9188-5af1463c2470,2fc8c738-2379-424c-a27f-4bdd06fb3798,Wednesday,12:00:00,20:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
17965c77-956c-40c9-9839-3308323aa90d,098fef45-dc28-47df-ae9f-65385bb7614d,Thursday,09:00:00,17:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
1a0469e4-80cc-406a-8c33-f3bf30e77919,632714bc-bb09-4b16-9510-b14db3495ca2,Saturday,09:00:00,13:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
1af214c9-0807-4a75-9907-f3ca740a23b4,d6b407cd-126a-4ee7-b525-11ee6a802418,Saturday,09:00:00,13:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
1eafaf58-bfcd-45e4-b0fc-e645bdee40cb,6afbbb5a-f99c-4344-b8d8-8980dc7f1807,Wednesday,09:00:00,17:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
204e8ec4-5ae5-455a-a62f-c6d9ac47e1f6,82158c73-600b-4a5b-966f-c982c626fc34,Thursday,09:00:00,17:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
219e2a66-3608-4d1f-8474-82469525824e,9a210617-1100-4859-88b4-b875abf78a62,Monday,09:00:00,17:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
21fdd528-2006-4a41-8606-9c8420678548,0f0de80b-c09c-40e3-b0f0-633afb4c15d9,Monday,12:00:00,20:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
290a9f80-a17b-4965-9c52-f0f85861fbca,098fef45-dc28-47df-ae9f-65385bb7614d,Friday,09:00:00,17:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
295d944a-78a3-4920-a854-4bd13b1312ba,c9e5d819-997c-422a-bc80-10e088232c49,Friday,08:00:00,16:00:00,true,2026-07-24 15:21:10.298887+00,2026-07-24 15:21:10.298887+00
